Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1341.0,217.0,3144.0,1074.0,1397.0,210.0,59.0,881.0
Change since 2024,-17.88120024,9.5959596,3.79663255,14.74358974,10.7850912,-3.22580645,-1.66666667,-3.18681319
