Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,1358.0,223.0,3179.0,1081.0,1414.0,212.0,59.0,905.0
Change since 2024,-18.58513189,12.06030151,5.02147341,15.36819637,11.25098348,-2.30414747,-1.66666667,-0.76754386
