District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
02,2020,450,362,812,447,367,814,55.41871921,54.91400491
02,2021,544,409,953,642,520,1162,57.08289612,55.24956971
02,2022,556,383,939,893,727,1620,59.21192758,55.12345679
02,2023,464,326,790,917,811,1728,58.73417722,53.06712963
02,2024,455,363,818,861,815,1676,55.62347188,51.37231504
02,2025,457,337,794,790,814,1604,57.55667506,49.25187032
02,2026,130,151,281,283,363,646,46.2633452,43.80804954
02,2034,1,0,1,0,0,0,100.0,
