Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,153,23,90,107,168,11,26,10,588,21.76870748,3.91156463,74.31972789
2017 Q2,176,22,98,102,164,7,30,18,617,20.5834684,3.56564019,75.85089141
2017 Q3,159,17,75,99,142,10,36,19,557,22.98025135,3.05206463,73.96768402
2017 Q4,167,26,105,109,130,11,21,14,583,22.98456261,4.45969125,72.55574614
2018 Q1,170,25,91,113,163,10,41,17,630,22.22222222,3.96825397,73.80952381
2018 Q2,192,20,100,121,168,7,36,26,670,22.98507463,2.98507463,74.02985075
2018 Q3,182,28,114,132,182,7,25,34,704,24.57386364,3.97727273,71.44886364
2018 Q4,153,46,106,139,178,11,32,22,687,25.0363901,6.69577875,68.26783115
2019 Q1,198,80,110,144,211,12,51,33,839,22.52681764,9.53516091,67.93802145
2019 Q2,219,101,113,177,189,17,61,29,906,24.61368653,11.14790287,64.2384106
2019 Q3,189,111,117,153,166,5,184,30,955,19.68586387,11.62303665,68.69109948
2019 Q4,130,67,84,137,148,13,116,23,718,24.09470752,9.33147632,66.57381616
2020 Q1,161,62,101,121,193,11,92,32,773,21.2160414,8.02069858,70.76326003
2020 Q2,70,50,37,86,78,5,43,9,378,26.45502646,13.22751323,60.31746032
2020 Q3,68,75,29,78,105,3,43,17,418,23.44497608,17.94258373,58.61244019
2020 Q4,71,104,35,97,135,4,57,16,519,22.5433526,20.03853565,57.41811175
2021 Q1,83,123,27,104,121,3,58,32,551,25.22686025,22.323049,52.45009074
2021 Q2,76,156,34,136,167,5,70,34,678,25.81120944,23.00884956,51.179941
2021 Q3,120,117,43,160,191,5,68,37,741,27.26045884,15.78947368,56.95006748
2021 Q4,117,113,50,144,213,7,70,39,753,25.23240372,15.00664011,59.76095618
2022 Q1,117,91,47,172,225,5,72,44,773,28.58990944,11.77231565,59.6377749
2022 Q2,112,123,60,147,256,8,62,34,802,23.56608479,15.33665835,61.09725686
2022 Q3,122,128,37,158,236,10,63,30,784,25.25510204,16.32653061,58.41836735
2022 Q4,130,106,46,151,174,12,48,27,694,27.37752161,15.27377522,57.34870317
2023 Q1,178,123,47,169,220,9,91,33,870,24.25287356,14.13793103,61.6091954
2023 Q2,169,140,71,151,210,8,113,42,904,22.23451327,15.48672566,62.27876106
2023 Q3,168,120,61,156,173,15,83,26,802,24.56359102,14.96259352,60.47381546
2023 Q4,190,124,56,119,168,8,53,19,737,19.81004071,16.82496608,63.36499322
2024 Q1,184,108,53,134,192,11,51,17,750,21.6,14.4,64.0
2024 Q2,183,138,63,160,203,11,56,29,843,23.72479241,16.37010676,59.90510083
2024 Q3,200,155,49,169,215,11,66,24,889,22.94713161,17.43532058,59.61754781
2024 Q4,199,135,48,152,215,7,55,31,842,22.56532067,16.03325416,61.40142518
2025 Q1,175,158,55,158,211,8,55,33,853,23.32942556,18.52286049,58.14771395
2025 Q2,202,202,56,147,206,4,49,43,909,21.34213421,22.22222222,56.43564356
2025 Q3,240,178,58,151,214,7,66,32,946,20.0845666,18.81606765,61.09936575
2025 Q4,193,159,54,171,193,8,54,25,857,23.80396733,18.55309218,57.64294049
