District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
02,2020,3649,46,1249,415,638
02,2021,2448,104,2011,662,757
02,2022,1149,147,1965,617,904
02,2023,1464,168,1713,677,1154
02,2024,1205,188,1770,715,1226
02,2025,777,201,1900,892,1333
