Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,2339,35,2374,1.5
2018,2439,39,2478,1.6
2019,2342,54,2396,2.3
2020,1733,35,1768,2.0
2021,1880,37,1917,1.9
2022,1688,25,1713,1.5
2023,1437,12,1449,0.8
2024,1404,10,1414,0.7
2025,1257,16,1273,1.3
