Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,562,21,0,583,3.60205832,174,237,411,42.33576642
2017 Q2,596,16,0,612,2.61437908,198,252,450,44.0
2017 Q3,585,14,0,599,2.33722871,151,256,407,37.1007371
2017 Q4,533,12,0,545,2.20183486,141,215,356,39.60674157
2018 Q1,575,9,0,584,1.54109589,204,236,440,46.36363636
2018 Q2,669,11,0,680,1.61764706,191,286,477,40.04192872
2018 Q3,587,12,0,599,2.0033389,210,280,490,42.85714286
2018 Q4,557,16,3,576,2.77777778,174,253,427,40.74941452
2019 Q1,556,13,0,569,2.28471002,191,222,413,46.24697337
2019 Q2,610,12,1,623,1.92616372,245,265,510,48.03921569
2019 Q3,600,13,2,615,2.11382114,214,215,429,49.88344988
2019 Q4,527,8,0,535,1.4953271,219,241,460,47.60869565
2020 Q1,467,7,1,475,1.47368421,249,213,462,53.8961039
2020 Q2,362,9,0,371,2.42587601,85,138,223,38.11659193
2020 Q3,400,7,0,407,1.71990172,134,134,268,50.0
2020 Q4,466,14,0,480,2.91666667,148,150,298,49.66442953
2021 Q1,472,14,0,486,2.88065844,152,183,335,45.37313433
2021 Q2,445,13,2,460,2.82608696,116,192,308,37.66233766
2021 Q3,477,17,0,494,3.44129555,139,204,343,40.52478134
2021 Q4,427,13,0,440,2.95454545,125,188,313,39.93610224
2022 Q1,437,22,1,460,4.7826087,151,226,377,40.0530504
2022 Q2,398,29,0,429,6.75990676,151,206,357,42.29691877
2022 Q3,380,26,0,408,6.37254902,169,209,378,44.70899471
2022 Q4,366,23,1,391,5.88235294,151,167,318,47.48427673
2023 Q1,346,11,0,357,3.08123249,132,174,306,43.1372549
2023 Q2,357,19,0,376,5.05319149,129,181,310,41.61290323
2023 Q3,345,9,0,355,2.53521127,117,190,307,38.11074919
2023 Q4,332,15,1,349,4.29799427,111,192,303,36.63366337
2024 Q1,332,17,0,350,4.85714286,107,162,269,39.77695167
2024 Q2,323,10,1,335,2.98507463,109,182,291,37.45704467
2024 Q3,359,19,0,378,5.02645503,99,135,234,42.30769231
2024 Q4,330,11,0,341,3.22580645,79,144,223,35.42600897
2025 Q1,317,11,0,328,3.35365854,77,171,248,31.0483871
2025 Q2,304,13,0,318,4.08805031,99,164,263,37.64258555
2025 Q3,308,24,0,334,7.18562874,85,139,224,37.94642857
2025 Q4,251,24,1,277,8.66425993,84,137,221,38.00904977
2026 Q1,323,13,1,338,3.84615385,73,148,221,33.03167421
2026 Q2,285,23,1,309,7.4433657,65,119,184,35.32608696
