District,Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
21,2024,1404,277,1681,16.47828673
21,2021,1880,253,2133,11.86122832
21,2022,1688,260,1948,13.34702259
21,2025,1257,258,1515,17.02970297
21,2019,2342,337,2679,12.57932064
21,2020,1733,306,2039,15.00735655
21,2023,1437,263,1700,15.47058824
21,2017,2339,405,2744,14.75947522
21,2018,2439,355,2794,12.70579814
