Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,2339,405,2744,9,198,150,46,173,1582,2158,14.75947522,6.95088044
2018,2439,355,2794,14,193,219,41,190,1799,2456,12.70579814,8.91693811
2019,2342,337,2679,12,165,200,53,153,1760,2343,12.57932064,8.53606487
2020,1733,306,2039,4,127,212,23,125,1230,1721,15.00735655,12.31841952
2021,1880,253,2133,9,144,236,19,187,1281,1876,11.86122832,12.57995736
2022,1688,260,1948,8,165,210,29,167,1401,1980,13.34702259,10.60606061
2023,1437,263,1700,9,143,200,17,146,1209,1724,15.47058824,11.60092807
2024,1404,277,1681,9,143,146,40,97,979,1414,16.47828673,10.32531825
2025,1257,258,1515,6,153,111,22,85,935,1312,17.02970297,8.46036585
