Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,2339,405,2744,14.75947522
2018,2439,355,2794,12.70579814
2019,2342,337,2679,12.57932064
2020,1733,306,2039,15.00735655
2021,1880,253,2133,11.86122832
2022,1688,260,1948,13.34702259
2023,1437,263,1700,15.47058824
2024,1404,277,1681,16.47828673
2025,1257,259,1516,17.08443272
