Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,562,21,0,583,3.6,174,237,411,42.3
2017 Q2,596,16,0,612,2.6,198,252,450,44.0
2017 Q3,585,14,0,599,2.3,151,256,407,37.1
2017 Q4,533,12,0,545,2.2,141,215,356,39.6
2018 Q1,575,9,0,584,1.5,204,236,440,46.4
2018 Q2,669,11,0,680,1.6,191,286,477,40.0
2018 Q3,587,12,0,599,2.0,210,280,490,42.9
2018 Q4,557,16,3,576,2.8,174,253,427,40.7
2019 Q1,556,13,0,569,2.3,191,222,413,46.2
2019 Q2,610,12,1,623,1.9,245,265,510,48.0
2019 Q3,600,13,2,615,2.1,214,215,429,49.9
2019 Q4,527,8,0,535,1.5,219,241,460,47.6
2020 Q1,467,7,1,475,1.5,249,213,462,53.9
2020 Q2,362,9,0,371,2.4,85,138,223,38.1
2020 Q3,400,7,0,407,1.7,134,134,268,50.0
2020 Q4,466,14,0,480,2.9,148,150,298,49.7
2021 Q1,472,14,0,486,2.9,152,183,335,45.4
2021 Q2,445,13,2,460,2.8,116,192,308,37.7
2021 Q3,477,17,0,494,3.4,139,204,343,40.5
2021 Q4,427,13,0,440,3.0,125,188,313,39.9
2022 Q1,437,22,1,460,4.8,151,226,377,40.1
2022 Q2,398,29,0,429,6.8,151,206,357,42.3
2022 Q3,380,26,0,408,6.4,169,209,378,44.7
2022 Q4,366,23,1,391,5.9,151,167,318,47.5
2023 Q1,346,11,0,357,3.1,132,174,306,43.1
2023 Q2,357,19,0,376,5.1,129,181,310,41.6
2023 Q3,345,9,0,355,2.5,117,190,307,38.1
2023 Q4,332,15,1,349,4.3,111,192,303,36.6
2024 Q1,332,17,0,350,4.9,107,162,269,39.8
2024 Q2,323,10,1,335,3.0,109,182,291,37.5
2024 Q3,359,19,0,378,5.0,99,135,234,42.3
2024 Q4,330,11,0,341,3.2,79,144,223,35.4
2025 Q1,317,11,0,328,3.4,77,171,248,31.0
2025 Q2,304,13,0,318,4.1,99,164,263,37.6
2025 Q3,308,24,0,334,7.2,85,139,224,37.9
2025 Q4,251,24,1,277,8.7,84,137,221,38.0
2026 Q1,323,13,1,338,3.8,73,153,226,32.3
2026 Q2,285,23,1,309,7.4,83,155,238,34.9
