Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,2339,35,2374,9,198,150,46,173,1582,2158,1.5,7.0
2018,2439,39,2478,14,193,219,41,190,1799,2456,1.6,8.9
2019,2342,54,2396,12,165,200,53,153,1760,2343,2.3,8.5
2020,1733,35,1768,4,127,212,23,125,1230,1721,2.0,12.3
2021,1880,37,1917,9,144,236,19,187,1281,1876,1.9,12.6
2022,1688,25,1713,8,165,210,29,167,1401,1980,1.5,10.6
2023,1437,12,1449,9,143,200,17,146,1209,1724,0.8,11.6
2024,1404,10,1414,9,145,146,40,97,979,1416,0.7,10.3
2025,1257,16,1273,6,153,111,22,85,935,1312,1.3,8.5
