Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2017,96,8,104,308,56,364,15,0,15,1873,324,2197,7.7,15.4,0.0,14.7
2018,99,15,114,323,38,361,15,4,19,1958,273,2231,13.2,10.5,21.1,12.2
2019,95,3,98,327,34,361,11,1,12,1846,257,2103,3.1,9.4,8.3,12.2
2020,88,9,97,273,40,313,8,2,10,1329,238,1567,9.3,12.8,20.0,15.2
2021,63,9,72,293,34,327,12,1,13,1477,194,1671,12.5,10.4,7.7,11.6
2022,70,6,76,274,42,316,10,0,10,1312,213,1525,7.9,13.3,0.0,14.0
2023,61,6,67,187,35,222,14,0,14,1168,210,1378,9.0,15.8,0.0,15.2
2024,59,6,65,201,43,244,10,3,13,1094,220,1314,9.2,17.6,23.1,16.7
2025,46,15,61,177,41,218,7,0,7,1011,195,1206,24.6,18.8,0.0,16.2
