Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,2304,357,2661,13.41600902
2021,2446,317,2763,11.47303655
2022,2075,311,2386,13.03436714
2023,1958,285,2243,12.70619706
2024,2133,262,2395,10.9394572
2025,1983,289,2272,12.72007042
