Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,2903,471,3374,10,341,164,37,189,1985,2726,13.95969176,6.01614087
2018,2947,445,3392,17,418,212,41,213,1890,2791,13.11910377,7.59584378
2019,3097,423,3520,16,396,201,40,219,2133,3005,12.01704545,6.68885191
2020,2304,357,2661,6,340,144,19,201,1534,2244,13.41600902,6.4171123
2021,2446,317,2763,9,294,174,31,216,1537,2261,11.47303655,7.69570986
2022,2075,311,2386,10,290,186,45,207,1438,2176,13.03436714,8.54779412
2023,1958,285,2243,10,259,219,42,189,1397,2116,12.70619706,10.34971645
2024,2133,263,2396,13,312,202,48,160,1426,2161,10.97662771,9.34752429
2025,1983,292,2275,19,259,210,62,157,1271,1978,12.83516484,10.61678463
