Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,2903,71,2974,10,341,164,37,189,1985,2726,2.4,6.0
2018,2947,64,3011,17,418,212,41,213,1890,2791,2.1,7.6
2019,3097,101,3198,16,396,201,40,219,2133,3005,3.2,6.7
2020,2304,89,2393,6,340,144,19,201,1534,2244,3.7,6.4
2021,2446,54,2500,9,294,174,31,216,1537,2261,2.2,7.7
2022,2075,60,2135,10,290,186,45,207,1438,2176,2.8,8.5
2023,1958,40,1998,10,259,219,42,189,1397,2116,2.0,10.3
2024,2133,23,2156,13,313,202,48,160,1425,2161,1.1,9.3
2025,1983,64,2047,19,259,210,62,157,1271,1978,3.1,10.6
