District,Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
19,2024,2133,262,2395,13,312,202,48,160,1426,2161,10.9394572,9.34752429
19,2021,2446,317,2763,9,294,174,31,216,1537,2261,11.47303655,7.69570986
19,2028,0,0,0,0,1,0,0,0,0,1,,0.0
19,2022,2075,311,2386,10,290,186,45,207,1438,2176,13.03436714,8.54779412
19,2025,1983,289,2272,19,259,210,62,157,1272,1979,12.72007042,10.61141991
19,2019,3097,423,3520,16,396,201,40,219,2133,3005,12.01704545,6.68885191
19,2020,2304,357,2661,6,340,144,19,201,1534,2244,13.41600902,6.4171123
19,2023,1958,285,2243,10,259,219,42,189,1397,2116,12.70619706,10.34971645
19,2017,2903,471,3374,10,341,164,37,189,1985,2726,13.95969176,6.01614087
19,2026,1081,92,1173,5,140,110,33,65,667,1020,7.84313725,10.78431373
19,2018,2947,445,3392,17,418,212,41,213,1890,2791,13.11910377,7.59584378
