Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,2903,471,3374,14.0
2018,2947,445,3392,13.1
2019,3097,423,3520,12.0
2020,2304,357,2661,13.4
2021,2446,317,2763,11.5
2022,2075,311,2386,13.0
2023,1958,285,2243,12.7
2024,2133,263,2396,11.0
2025,1983,292,2275,12.8
