Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,135,10,145,775,93,868,7,1,8,1366,251,1617,6.9,10.7,12.5,15.5
2021,84,8,92,920,101,1021,6,1,7,1386,201,1587,8.7,9.9,14.3,12.7
2022,94,7,101,722,95,817,8,0,8,1229,195,1424,6.9,11.6,0.0,13.7
2023,81,12,93,711,84,795,6,0,6,1135,187,1322,12.9,10.6,0.0,14.1
2024,110,9,119,777,93,870,4,0,4,1213,160,1373,7.6,10.7,0.0,11.7
2025,89,13,102,667,78,745,3,1,4,1205,201,1406,12.7,10.5,25.0,14.3
