Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,2903,71,2974,2.4
2018,2947,64,3011,2.1
2019,3097,101,3198,3.2
2020,2304,89,2393,3.7
2021,2446,54,2500,2.2
2022,2075,60,2135,2.8
2023,1958,40,1998,2.0
2024,2133,23,2156,1.1
2025,1983,64,2047,3.1
