Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
2017 Q1,714,27,2,743,3.6,219,271,490,44.7
2017 Q2,680,28,0,708,4.0,213,329,542,39.3
2017 Q3,651,30,2,683,4.4,224,273,497,45.1
2017 Q4,739,28,2,769,3.6,192,300,492,39.0
2018 Q1,672,26,1,699,3.7,186,300,486,38.3
2018 Q2,700,18,2,720,2.5,182,278,460,39.6
2018 Q3,767,26,0,793,3.3,175,275,450,38.9
2018 Q4,715,20,0,735,2.7,196,337,533,36.8
2019 Q1,728,43,1,772,5.6,187,241,428,43.7
2019 Q2,657,26,3,686,3.8,289,320,609,47.5
2019 Q3,832,18,0,850,2.1,264,316,580,45.5
2019 Q4,759,26,4,789,3.3,241,312,553,43.6
2020 Q1,666,31,2,699,4.4,208,321,529,39.3
2020 Q2,509,33,1,543,6.1,106,167,273,38.8
2020 Q3,431,29,1,461,6.3,190,226,416,45.7
2020 Q4,578,22,1,601,3.7,133,199,332,40.1
2021 Q1,589,40,0,629,6.4,197,238,435,45.3
2021 Q2,589,32,0,621,5.2,147,276,423,34.8
2021 Q3,608,39,1,648,6.0,119,207,326,36.5
2021 Q4,526,22,0,548,4.0,151,229,380,39.7
2022 Q1,463,33,1,497,6.6,167,232,399,41.9
2022 Q2,463,46,3,512,9.0,146,295,441,33.1
2022 Q3,479,36,3,518,6.9,105,200,305,34.4
2022 Q4,519,26,2,548,4.7,126,210,336,37.5
2023 Q1,420,36,5,461,7.8,164,233,397,41.3
2023 Q2,478,23,1,502,4.6,145,221,366,39.6
2023 Q3,449,35,0,485,7.2,114,220,334,34.1
2023 Q4,481,28,0,510,5.5,133,206,339,39.2
2024 Q1,448,33,1,483,6.8,113,238,351,32.2
2024 Q2,489,40,1,530,7.5,148,231,379,39.1
2024 Q3,570,42,0,612,6.9,132,261,393,33.6
2024 Q4,461,45,2,508,8.9,134,215,349,38.4
2025 Q1,444,38,1,484,7.9,102,213,315,32.4
2025 Q2,465,33,0,498,6.6,139,242,381,36.5
2025 Q3,471,29,4,504,5.8,128,203,331,38.7
2025 Q4,452,44,1,497,8.9,104,193,297,35.0
2026 Q1,489,30,1,521,5.8,134,247,381,35.2
2026 Q2,502,37,0,540,6.9,140,177,317,44.2
