District,Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
19,2017,2903,471,3374,13.95969176
19,2018,2947,445,3392,13.11910377
19,2019,3097,423,3520,12.01704545
19,2020,2304,357,2661,13.41600902
19,2021,2446,317,2763,11.47303655
19,2022,2075,311,2386,13.03436714
19,2023,1958,285,2243,12.70619706
19,2024,2133,262,2395,10.9394572
19,2025,1983,289,2272,12.72007042
