Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3692.0,1233.0,2717.0,586.0,634.0,85.0,37.0,386.0
Change since 2024,-7.67691923,-12.11689237,-1.62925416,4.45632799,22.39382239,-29.75206612,19.35483871,-13.4529148
