Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,56,84,63,104,141,17,5,6,476,26.7,17.6,55.7
2017 Q2,66,94,91,110,161,19,7,6,554,24.4,17.0,58.7
2017 Q3,83,119,64,106,137,11,9,8,537,23.3,22.2,54.6
2017 Q4,87,185,90,146,164,22,33,12,739,24.4,25.0,50.6
2018 Q1,79,200,109,170,153,18,55,15,799,25.4,25.0,49.6
2018 Q2,100,229,109,136,169,19,49,14,825,20.5,27.8,51.8
2018 Q3,82,163,88,141,163,19,38,14,708,24.6,23.0,52.4
2018 Q4,108,174,86,129,188,18,32,16,751,21.7,23.2,55.1
2019 Q1,128,188,93,170,197,23,29,14,842,24.6,22.3,53.1
2019 Q2,108,204,108,176,177,22,26,21,842,26.0,24.2,49.8
2019 Q3,119,167,96,182,175,24,38,11,812,26.7,20.6,52.7
2019 Q4,68,158,80,146,159,11,44,12,678,24.9,23.3,51.8
2020 Q1,81,117,63,145,136,13,28,5,588,27.7,19.9,52.4
2020 Q2,22,46,23,43,53,11,3,7,208,29.3,22.1,48.6
2020 Q3,28,113,32,121,117,8,17,6,442,30.5,25.6,43.9
2020 Q4,23,95,27,135,104,9,14,5,412,36.2,23.1,40.8
2021 Q1,25,125,48,113,153,9,12,13,498,27.1,25.1,47.8
2021 Q2,33,129,44,115,129,16,13,11,490,29.0,26.3,44.7
2021 Q3,49,133,44,122,178,12,24,11,573,25.3,23.2,51.5
2021 Q4,43,116,36,120,143,9,11,7,485,28.0,23.9,48.0
2022 Q1,32,126,52,108,136,8,14,10,486,25.9,25.9,48.1
2022 Q2,32,143,41,118,173,11,15,17,550,26.5,26.0,47.5
2022 Q3,53,140,42,113,152,11,10,11,532,25.4,26.3,48.3
2022 Q4,45,95,51,108,158,3,12,19,491,26.5,19.3,54.2
2023 Q1,58,116,67,104,143,13,13,11,525,24.4,22.1,53.5
2023 Q2,47,106,42,93,137,16,12,9,462,25.5,22.9,51.5
2023 Q3,48,76,60,101,124,5,3,10,427,27.2,17.8,55.0
2023 Q4,46,90,41,88,100,11,2,6,384,27.3,23.4,49.2
2024 Q1,61,109,40,92,95,6,7,5,415,24.8,26.3,48.9
2024 Q2,34,100,55,92,106,9,10,9,415,26.5,24.1,49.4
2024 Q3,55,92,55,89,94,13,6,9,413,26.9,22.3,50.8
2024 Q4,47,90,37,89,119,6,6,9,403,25.8,22.3,51.9
2025 Q1,45,109,48,105,102,14,8,9,440,29.1,24.8,46.1
2025 Q2,50,120,41,84,108,11,13,8,435,23.7,27.6,48.7
2025 Q3,55,94,31,96,114,5,6,8,409,26.7,23.0,50.4
2025 Q4,49,92,42,104,92,6,12,7,404,29.0,22.8,48.3
2026 Q1,35,124,50,115,93,24,12,11,464,32.3,26.7,40.9
2026 Q2,44,73,46,105,78,9,15,6,376,31.9,19.4,48.7
