Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,56,84,63,104,141,17,5,6,476,26.68067227,17.64705882,55.67226891
2017 Q2,66,94,91,110,161,19,7,6,554,24.36823105,16.96750903,58.66425993
2017 Q3,83,119,64,106,137,11,9,8,537,23.27746741,22.16014898,54.56238361
2017 Q4,87,185,90,146,164,22,33,12,739,24.35723951,25.0338295,50.60893099
2018 Q1,79,200,109,170,153,18,55,15,799,25.40675845,25.03128911,49.56195244
2018 Q2,100,229,109,136,169,19,49,14,825,20.48484848,27.75757576,51.75757576
2018 Q3,82,163,88,141,163,19,38,14,708,24.57627119,23.02259887,52.40112994
2018 Q4,108,174,86,129,188,18,32,16,751,21.70439414,23.16910786,55.126498
2019 Q1,128,188,93,170,197,23,29,14,842,24.58432304,22.32779097,53.08788599
2019 Q2,108,204,108,176,177,22,26,21,842,26.00950119,24.2280285,49.76247031
2019 Q3,119,167,96,182,175,24,38,11,812,26.72413793,20.56650246,52.70935961
2019 Q4,68,158,80,146,159,11,44,12,678,24.92625369,23.30383481,51.7699115
2020 Q1,81,117,63,145,136,13,28,5,588,27.72108844,19.89795918,52.38095238
2020 Q2,22,46,23,43,53,11,3,7,208,29.32692308,22.11538462,48.55769231
2020 Q3,28,113,32,121,117,8,17,6,442,30.54298643,25.56561086,43.89140271
2020 Q4,23,95,27,135,104,9,14,5,412,36.16504854,23.05825243,40.77669903
2021 Q1,25,125,48,113,153,9,12,13,498,27.10843373,25.10040161,47.79116466
2021 Q2,33,129,44,115,129,16,13,11,490,28.97959184,26.32653061,44.69387755
2021 Q3,49,133,44,122,178,12,24,11,573,25.30541012,23.21116928,51.48342059
2021 Q4,43,116,36,120,143,9,11,7,485,28.04123711,23.91752577,48.04123711
2022 Q1,32,126,52,108,136,8,14,10,486,25.92592593,25.92592593,48.14814815
2022 Q2,32,143,41,118,173,11,15,17,550,26.54545455,26.0,47.45454545
2022 Q3,53,140,42,113,152,11,10,11,532,25.37593985,26.31578947,48.30827068
2022 Q4,45,95,51,108,158,3,12,19,491,26.47657841,19.34826884,54.17515275
2023 Q1,58,116,67,104,143,13,13,11,525,24.38095238,22.0952381,53.52380952
2023 Q2,47,106,42,93,137,16,12,9,462,25.54112554,22.94372294,51.51515152
2023 Q3,48,76,60,101,124,5,3,10,427,27.16627635,17.79859485,55.03512881
2023 Q4,46,90,41,88,100,11,2,6,384,27.34375,23.4375,49.21875
2024 Q1,61,109,40,92,95,6,7,5,415,24.81927711,26.26506024,48.91566265
2024 Q2,34,100,55,92,106,9,10,9,415,26.5060241,24.09638554,49.39759036
2024 Q3,54,92,55,89,94,13,6,9,412,26.94174757,22.33009709,50.72815534
2024 Q4,47,89,37,89,119,6,6,9,402,25.87064677,22.13930348,51.99004975
2025 Q1,45,109,48,105,102,14,8,9,440,29.09090909,24.77272727,46.13636364
2025 Q2,50,120,41,84,108,11,13,7,434,23.50230415,27.64976959,48.84792627
2025 Q3,55,94,31,96,114,5,6,8,409,26.65036675,22.98288509,50.36674817
2025 Q4,49,92,42,104,92,6,12,7,404,28.96039604,22.77227723,48.26732673
