DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,66,164,230,28.7,235,752,987,23.8
2019 Q2,57,149,206,27.7,235,804,1039,22.6
2020 Q4,27,105,132,20.5,142,601,743,19.1
2025 Q3,28,93,121,23.1,136,601,737,18.5
2021 Q3,42,117,159,26.4,152,729,881,17.3
2023 Q1,38,135,173,22.0,158,630,788,20.1
2017 Q3,59,142,201,29.4,157,316,473,33.2
2025 Q4,13,89,102,12.7,94,551,645,14.6
2021 Q2,41,128,169,24.3,136,669,805,16.9
2019 Q1,55,168,223,24.7,257,865,1122,22.9
2022 Q2,35,155,190,18.4,170,657,827,20.6
2018 Q1,65,173,238,27.3,223,805,1028,21.7
2019 Q4,37,132,169,21.9,262,817,1079,24.3
2021 Q1,29,134,163,17.8,138,641,779,17.7
2019 Q3,57,137,194,29.4,223,811,1034,21.6
2024 Q1,28,95,123,22.8,153,593,746,20.5
2018 Q2,61,182,243,25.1,232,831,1063,21.8
2020 Q1,58,167,225,25.8,207,752,959,21.6
2023 Q4,28,92,120,23.3,102,529,631,16.2
2018 Q4,75,166,241,31.1,251,812,1063,23.6
2020 Q3,26,110,136,19.1,161,709,870,18.5
2017 Q4,66,138,204,32.4,206,636,842,24.5
2024 Q3,38,97,135,28.1,147,561,708,20.8
2024 Q2,42,98,140,30.0,144,655,799,18.0
2017 Q1,69,161,230,30.0,109,285,394,27.7
2022 Q3,39,123,162,24.1,145,614,759,19.1
2025 Q1,36,120,156,23.1,161,603,764,21.1
2023 Q2,36,112,148,24.3,126,603,729,17.3
2017 Q2,60,161,221,27.1,146,319,465,31.4
2020 Q2,18,63,81,22.2,72,315,387,18.6
2023 Q3,39,88,127,30.7,138,523,661,20.9
2022 Q1,33,121,154,21.4,155,713,868,17.9
2024 Q4,27,94,121,22.3,148,608,756,19.6
2021 Q4,41,120,161,25.5,132,666,798,16.5
2025 Q2,22,83,105,21.0,113,572,685,16.5
2022 Q4,33,109,142,23.2,131,594,725,18.1
