Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,5,2,7,220,145,365,435,403,838,71.42857143,60.2739726,51.90930788
2021,4,2,6,235,162,397,584,440,1024,66.66666667,59.19395466,57.03125
2022,5,4,9,274,183,457,520,420,940,55.55555556,59.95623632,55.31914894
2023,4,5,9,246,180,426,434,339,773,44.44444444,57.74647887,56.14489004
2024,4,1,5,213,176,389,386,281,667,80.0,54.75578406,57.87106447
2025,5,3,8,183,174,357,334,274,608,62.5,51.2605042,54.93421053
