Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,591,347,938,758,446,1204,63.0,63.0
2020,269,243,512,427,338,765,52.5,55.8
2021,314,210,524,577,423,1000,59.9,57.7
2022,291,190,481,603,452,1055,60.5,57.2
2023,229,159,388,517,401,918,59.0,56.3
2024,203,134,337,484,379,863,60.2,56.1
2025,177,141,318,412,350,762,55.7,54.1
