District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
01,2020,1767,442,2525,469,443
01,2021,2536,757,2580,566,526
01,2022,1482,858,2429,577,530
01,2023,832,765,2160,447,527
01,2024,938,857,2198,439,461
01,2025,1025,734,2181,458,570
