Disposition Quarter,Deferred,Probation,Community Corrections,Prison
2017 Q1,133,226,49,175
2017 Q2,115,221,46,221
2017 Q3,125,201,50,177
2017 Q4,104,202,63,200
2018 Q1,88,238,53,197
2018 Q2,106,242,71,199
2018 Q3,73,229,64,191
2018 Q4,93,241,55,210
2019 Q1,94,221,71,221
2019 Q2,95,205,66,211
2019 Q3,89,191,58,186
2019 Q4,78,166,48,179
2020 Q1,84,223,35,141
2020 Q2,55,79,16,86
2020 Q3,83,135,39,114
2020 Q4,96,131,46,95
2021 Q1,83,160,54,136
2021 Q2,83,166,56,134
2021 Q3,89,155,67,117
2021 Q4,71,156,57,122
2022 Q1,97,151,53,125
2022 Q2,110,190,59,139
2022 Q3,100,159,41,149
2022 Q4,93,140,48,134
2023 Q1,96,169,37,130
2023 Q2,119,141,38,134
2023 Q3,77,127,33,118
2023 Q4,80,119,18,108
2024 Q1,96,119,25,126
2024 Q2,94,134,23,110
2024 Q3,102,135,33,104
2024 Q4,73,112,37,105
2025 Q1,107,153,23,107
2025 Q2,99,101,22,91
2025 Q3,90,117,23,88
2025 Q4,63,99,15,96
2026 Q1,99,121,22,105
2026 Q2,102,95,15,78
