Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3692.0,1231.0,2715.0,584.0,634.0,84.0,37.0,385.0
Change since 2024,-7.67691923,-12.25944405,-1.70166546,4.28571429,22.39382239,-30.0,19.35483871,-13.67713004
