Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,1767,442,2525,469,443,23
2021,2536,757,2580,566,526,22
2022,1482,858,2430,576,530,11
2023,832,765,2160,447,527,14
2024,938,857,2198,440,461,17
2025,1025,736,2184,460,570,16
