Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2020,290,113,403,953,388,1341,20,18,38,2832,898,3730,28.0,28.9,47.4,24.1
2021,278,218,496,1006,562,1568,13,14,27,2948,1259,4207,44.0,35.8,51.9,29.9
2022,264,233,497,1040,673,1713,17,14,31,2661,1369,4030,46.9,39.3,45.2,34.0
2023,278,236,514,981,691,1672,12,15,27,2273,1240,3513,45.9,41.3,55.6,35.3
2024,310,231,541,1118,728,1846,18,14,32,2300,1243,3543,42.7,39.4,43.8,35.1
2025,279,238,517,993,697,1690,16,9,25,2273,1243,3516,46.0,41.2,36.0,35.4
