Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,1754,278,2032,13.7
2017 Q2,1751,373,2124,17.6
2017 Q3,1597,355,1952,18.2
2017 Q4,1664,486,2150,22.6
2018 Q1,1771,554,2325,23.8
2018 Q2,1778,566,2344,24.1
2018 Q3,1620,558,2178,25.6
2018 Q4,1744,546,2290,23.8
2019 Q1,1748,638,2386,26.7
2019 Q2,1629,646,2275,28.4
2019 Q3,1596,644,2240,28.8
2019 Q4,1525,603,2128,28.3
2020 Q1,1562,485,2047,23.7
2020 Q2,559,198,757,26.2
2020 Q3,1229,357,1586,22.5
2020 Q4,998,394,1392,28.3
2021 Q1,1170,449,1619,27.7
2021 Q2,1177,476,1653,28.8
2021 Q3,1186,609,1795,33.9
2021 Q4,1063,542,1605,33.8
2022 Q1,1123,547,1670,32.8
2022 Q2,1128,639,1767,36.2
2022 Q3,1129,566,1695,33.4
2022 Q4,1008,583,1591,36.6
2023 Q1,1093,631,1724,36.6
2023 Q2,1008,549,1557,35.3
2023 Q3,894,551,1445,38.1
2023 Q4,884,505,1389,36.4
2024 Q1,1001,518,1519,34.1
2024 Q2,1052,595,1647,36.1
2024 Q3,999,566,1565,36.2
2024 Q4,1021,601,1622,37.1
2025 Q1,1033,611,1644,37.2
2025 Q2,936,545,1481,36.8
2025 Q3,970,598,1568,38.1
2025 Q4,943,486,1429,34.0
