Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,163,101,264,307,193,500,61.7,61.4
2020,77,76,153,167,149,316,50.3,52.8
2021,81,79,160,200,140,340,50.6,58.8
2022,89,78,167,204,138,342,53.3,59.6
2023,71,58,129,176,137,313,55.0,56.2
2024,52,60,112,178,135,313,46.4,56.9
