Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,41,61,102,4,2,6,221,144,365,435,404,839,40.2,66.7,60.5,51.8
2021,86,61,147,4,2,6,236,163,399,583,440,1023,58.5,66.7,59.1,57.0
2022,95,68,163,6,4,10,276,188,464,518,415,933,58.3,60.0,59.5,55.5
2023,74,58,132,5,5,10,245,180,425,434,339,773,56.1,50.0,57.6,56.1
2024,80,64,144,4,1,5,214,175,389,386,279,665,55.6,80.0,55.0,58.0
2025,59,64,123,5,3,8,186,173,359,333,272,605,48.0,62.5,51.8,55.0
