Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,783,314,28,243,43,797
2020,568,127,11,136,45,436
2021,637,165,15,234,17,509
2022,640,156,10,201,28,547
2023,556,148,3,126,19,490
2024,500,120,14,119,14,445
2025,470,122,8,84,21,383
