Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,940,36,976,4,137,97,31,88,559,916,3.7,10.6
2018,1070,59,1129,5,135,133,18,112,550,953,5.2,14.0
2019,1163,47,1210,2,131,135,26,98,626,1018,3.9,13.3
2020,920,38,958,3,103,115,26,74,509,830,4.0,13.9
2021,860,33,893,4,116,122,21,59,541,863,3.7,14.1
2022,804,27,831,5,97,87,16,77,499,781,3.2,11.1
2023,683,23,706,4,95,105,14,57,395,670,3.3,15.7
2024,730,29,759,3,117,127,10,47,352,656,3.8,19.4
2025,665,19,684,0,89,97,18,37,324,565,2.8,17.2
