Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,940,36,976,3.7
2018,1070,59,1129,5.2
2019,1163,47,1210,3.9
2020,920,38,958,4.0
2021,860,33,893,3.7
2022,804,27,831,3.2
2023,683,23,706,3.3
2024,730,29,759,3.8
2025,665,19,684,2.8
