Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2020,920,259,1179,22.0
2021,860,262,1122,23.4
2022,804,287,1091,26.3
2023,683,249,932,26.7
2024,730,201,931,21.6
2025,665,176,841,20.9
