District,Quarter,Felony Filed,Misdemeanor Filed,Petty Offense/Infraction Filed,Total Felony Referrals,Percent of felony referrals charged as misdemeanors,Felony Charge Reduced to Misdemeanor,Felony Charge Not Reduced to Misdemeanor,Total Felony Charges Disposed,Percent of felony filings disposed as misdemeanors
07,2026 Q1,127,16,1,144,11.11111111,43,39,82,52.43902439
07,2025 Q3,142,16,1,159,10.06289308,33,38,71,46.47887324
07,2021 Q3,189,22,1,212,10.37735849,80,65,145,55.17241379
07,2023 Q1,126,25,1,152,16.44736842,49,60,109,44.95412844
07,2019 Q1,271,20,2,293,6.82593857,78,69,147,53.06122449
07,2022 Q2,179,30,3,212,14.1509434,68,86,154,44.15584416
07,2018 Q3,297,26,2,325,8.0,69,78,147,46.93877551
07,2019 Q2,248,18,4,270,6.66666667,85,62,147,57.82312925
07,2020 Q4,181,20,1,202,9.9009901,69,73,142,48.5915493
07,2017 Q3,222,10,1,233,4.29184549,66,100,166,39.75903614
07,2025 Q4,148,15,1,166,9.03614458,42,38,80,52.5
07,2021 Q2,189,29,2,220,13.18181818,77,76,153,50.32679739
07,2018 Q1,234,17,0,251,6.77290837,73,70,143,51.04895105
07,2019 Q4,266,5,1,272,1.83823529,110,60,170,64.70588235
07,2021 Q1,209,21,0,230,9.13043478,54,70,124,43.5483871
07,2019 Q3,299,22,7,328,6.70731707,93,95,188,49.46808511
07,2018 Q2,241,18,0,259,6.94980695,72,72,144,50.0
07,2020 Q3,211,25,1,237,10.54852321,61,65,126,48.41269841
07,2024 Q1,175,26,0,201,12.93532338,56,44,100,56.0
07,2020 Q1,238,20,0,258,7.75193798,87,76,163,53.37423313
07,2023 Q4,168,21,1,191,10.9947644,49,42,91,53.84615385
07,2018 Q4,217,17,1,235,7.23404255,65,68,133,48.87218045
07,2017 Q4,231,7,0,238,2.94117647,78,71,149,52.34899329
07,2024 Q3,170,21,7,199,10.55276382,48,36,84,57.14285714
07,2024 Q2,129,29,0,159,18.23899371,48,38,86,55.81395349
07,2025 Q1,151,15,0,166,9.03614458,64,36,100,64.0
07,2017 Q2,257,11,0,268,4.10447761,62,58,120,51.66666667
07,2017 Q1,192,9,0,201,4.47761194,66,88,154,42.85714286
07,2022 Q3,160,38,2,200,19.0,75,67,142,52.81690141
07,2023 Q2,147,20,1,168,11.9047619,54,58,112,48.21428571
07,2020 Q2,194,29,0,223,13.0044843,55,48,103,53.39805825
07,2023 Q3,157,15,0,172,8.72093023,44,54,98,44.89795918
07,2022 Q1,191,25,0,216,11.57407407,72,56,128,56.25
07,2024 Q4,149,18,2,171,10.52631579,60,32,92,65.2173913
07,2022 Q4,147,28,1,176,15.90909091,55,36,91,60.43956044
07,2026 Q2,162,23,0,185,12.43243243,49,32,81,60.49382716
07,2021 Q4,177,20,1,198,10.1010101,88,52,140,62.85714286
07,2025 Q2,153,18,2,174,10.34482759,50,39,89,56.17977528
