Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,940,369,1309,28.2
2018,1070,411,1481,27.8
2019,1163,331,1494,22.2
2020,920,267,1187,22.5
2021,860,266,1126,23.6
2022,804,296,1100,26.9
2023,683,261,944,27.6
2024,730,215,945,22.8
2025,665,183,848,21.6
