Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,Native American Felony Referrals Filed,Native American Felony Referrals Not Filed,Native American Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving Native American defendants declined,Percent of cases involving White defendants declined
2020,21,4,25,200,55,255,9,1,10,672,184,856,16.0,21.6,10.0,21.5
2021,24,8,32,181,52,233,7,0,7,632,185,817,25.0,22.3,0.0,22.6
2022,19,8,27,166,63,229,8,0,8,599,212,811,29.6,27.5,0.0,26.1
2023,10,2,12,172,52,224,6,2,8,479,189,668,16.7,23.2,25.0,28.3
2024,9,3,12,166,37,203,8,0,8,530,165,695,25.0,18.2,0.0,23.7
2025,23,4,27,182,36,218,5,0,5,442,122,564,14.8,16.5,0.0,21.6
