Referral Year,Black Felony Referrals Filed,Black Felony Referrals Not Filed,Black Total Felony Referrals,Hispanic Felony Referrals Filed,Hispanic Felony Referrals Not Filed,Hispanic Total Felony Referrals,White Felony Referrals Filed,White Felony Referrals Not Filed,White Total Felony Referrals,Percent of cases involving Black defendants declined,Percent of cases involving Hispanic defendants declined,Percent of cases involving White defendants declined
2020,21,4,25,200,55,255,676,177,853,16.0,21.56862745,20.75029308
2021,24,8,32,180,52,232,634,181,815,25.0,22.4137931,22.20858896
2022,19,8,27,165,61,226,600,206,806,29.62962963,26.99115044,25.55831266
2023,10,2,12,170,50,220,481,182,663,16.66666667,22.72727273,27.45098039
2024,9,3,12,165,34,199,531,153,684,25.0,17.08542714,22.36842105
2025,23,4,27,184,32,216,442,119,561,14.81481481,14.81481481,21.21212121
