Referral Year,Filed,Declined,Total Felony Referrals,Percent Declined
2017,940,369,1309,28.1894576
2018,1070,411,1481,27.75151924
2019,1163,331,1494,22.15528782
2020,920,259,1179,21.9677693
2021,860,262,1122,23.35115865
2022,804,287,1091,26.30614115
2023,683,249,932,26.7167382
2024,730,201,931,21.58968851
2025,665,176,841,20.9274673
