District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
06,2017 Q1,26,24,4,16
06,2017 Q2,29,17,6,10
06,2017 Q3,26,23,12,8
06,2017 Q4,37,34,8,11
06,2018 Q1,28,27,7,20
06,2018 Q2,29,25,6,24
06,2018 Q3,31,13,2,22
06,2018 Q4,39,35,10,29
06,2019 Q1,37,17,7,34
06,2019 Q2,21,25,10,15
06,2019 Q3,22,18,9,21
06,2019 Q4,27,25,6,17
06,2020 Q1,19,20,2,20
06,2020 Q2,12,20,4,7
06,2020 Q3,20,16,8,7
06,2020 Q4,28,4,4,7
06,2021 Q1,18,9,5,10
06,2021 Q2,26,13,7,10
06,2021 Q3,24,17,7,27
06,2021 Q4,29,14,3,12
06,2022 Q1,34,12,6,16
06,2022 Q2,16,9,11,15
06,2022 Q3,21,10,10,11
06,2022 Q4,25,4,3,8
06,2023 Q1,16,17,7,12
06,2023 Q2,21,11,10,18
06,2023 Q3,25,12,4,14
06,2023 Q4,32,9,5,11
06,2024 Q1,23,10,7,9
06,2024 Q2,31,12,4,7
06,2024 Q3,42,2,6,10
06,2024 Q4,31,6,4,26
06,2025 Q1,26,7,3,18
06,2025 Q2,37,4,1,11
06,2025 Q3,28,8,5,16
06,2025 Q4,18,7,5,24
06,2026 Q1,15,6,9,9
06,2026 Q2,20,6,3,8
