Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,184,39,223,17.5
2017 Q2,191,53,244,21.7
2017 Q3,209,60,269,22.3
2017 Q4,216,42,258,16.3
2018 Q1,191,58,249,23.3
2018 Q2,219,59,278,21.2
2018 Q3,160,44,204,21.6
2018 Q4,206,59,265,22.3
2019 Q1,187,60,247,24.3
2019 Q2,215,67,282,23.8
2019 Q3,196,58,254,22.8
2019 Q4,183,55,238,23.1
2020 Q1,154,56,210,26.7
2020 Q2,100,43,143,30.1
2020 Q3,163,46,209,22.0
2020 Q4,154,36,190,18.9
2021 Q1,134,39,173,22.5
2021 Q2,159,45,204,22.1
2021 Q3,153,48,201,23.9
2021 Q4,209,39,248,15.7
2022 Q1,165,36,201,17.9
2022 Q2,162,49,211,23.2
2022 Q3,149,56,205,27.3
2022 Q4,120,36,156,23.1
2023 Q1,155,50,205,24.4
2023 Q2,147,61,208,29.3
2023 Q3,149,56,205,27.3
2023 Q4,141,56,197,28.4
2024 Q1,142,68,210,32.4
2024 Q2,119,71,190,37.4
2024 Q3,147,65,212,30.7
2024 Q4,134,80,214,37.4
2025 Q1,113,73,186,39.2
2025 Q2,142,75,217,34.6
2025 Q3,114,66,180,36.7
2025 Q4,103,79,182,43.4
