Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
2020,105,26,288,140,46
2021,176,28,347,123,42
2022,151,46,307,142,41
2023,87,60,346,122,56
2024,73,102,342,148,58
2025,85,106,298,97,70
