Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,184,39,223,17.48878924
2017 Q2,191,53,244,21.72131148
2017 Q3,209,60,269,22.30483271
2017 Q4,216,42,258,16.27906977
2018 Q1,191,58,249,23.29317269
2018 Q2,219,59,278,21.22302158
2018 Q3,160,44,204,21.56862745
2018 Q4,206,59,265,22.26415094
2019 Q1,187,60,247,24.29149798
2019 Q2,215,67,282,23.75886525
2019 Q3,196,58,254,22.83464567
2019 Q4,183,55,238,23.1092437
2020 Q1,154,56,210,26.66666667
2020 Q2,100,43,143,30.06993007
2020 Q3,163,46,209,22.00956938
2020 Q4,154,36,190,18.94736842
2021 Q1,134,39,173,22.5433526
2021 Q2,159,45,204,22.05882353
2021 Q3,153,48,201,23.88059701
2021 Q4,209,39,248,15.72580645
2022 Q1,164,36,200,18.0
2022 Q2,162,49,211,23.22274882
2022 Q3,149,56,205,27.31707317
2022 Q4,120,36,156,23.07692308
2023 Q1,155,50,205,24.3902439
2023 Q2,147,61,208,29.32692308
2023 Q3,149,56,205,27.31707317
2023 Q4,141,56,197,28.42639594
2024 Q1,142,68,210,32.38095238
2024 Q2,119,71,190,37.36842105
2024 Q3,147,65,212,30.66037736
2024 Q4,134,80,214,37.38317757
2025 Q1,112,73,185,39.45945946
2025 Q2,142,75,217,34.56221198
2025 Q3,114,66,180,36.66666667
2025 Q4,103,79,182,43.40659341
