Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,135,63,198,8,1,9,68.2,88.9
2020,70,44,114,3,0,3,61.4,100.0
2021,71,25,96,11,2,13,74.0,84.6
2022,52,15,67,4,0,4,77.6,100.0
2023,41,13,54,9,3,12,75.9,75.0
2024,38,16,54,9,1,10,70.4,90.0
2025,45,17,62,13,1,14,72.6,92.9
