Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,3,38,9,15,12,0,9,1,87,18.4,43.7,37.9
2017 Q2,0,50,9,14,11,3,4,0,91,18.7,54.9,26.4
2017 Q3,2,43,21,23,10,1,8,1,109,22.9,39.4,37.6
2017 Q4,3,41,13,17,14,2,5,1,96,20.8,42.7,36.5
2018 Q1,5,26,12,13,16,0,5,3,80,20.0,32.5,47.5
2018 Q2,4,47,8,22,9,0,5,3,98,25.5,48.0,26.5
2018 Q3,5,29,11,15,11,0,5,3,79,22.8,36.7,40.5
2018 Q4,8,38,9,28,13,2,5,3,106,31.1,35.8,33.0
2019 Q1,8,38,20,21,6,0,5,3,101,23.8,37.6,38.6
2019 Q2,8,54,16,31,7,0,4,1,121,26.4,44.6,28.9
2019 Q3,4,58,15,22,11,1,9,2,122,20.5,47.5,32.0
2019 Q4,5,35,9,19,16,2,5,0,91,23.1,38.5,38.5
2020 Q1,3,45,8,19,9,3,7,3,97,25.8,46.4,27.8
2020 Q2,1,29,5,11,4,0,0,0,50,22.0,58.0,20.0
2020 Q3,3,36,12,16,10,1,1,2,81,23.5,44.4,32.1
2020 Q4,4,27,5,7,11,2,1,0,57,15.8,47.4,36.8
2021 Q1,3,28,11,15,7,1,1,2,68,26.5,41.2,32.4
2021 Q2,2,24,7,14,16,0,1,3,67,25.4,35.8,38.8
2021 Q3,4,20,7,19,21,1,5,4,81,29.6,24.7,45.7
2021 Q4,4,33,8,12,5,2,0,0,64,21.9,51.6,26.6
2022 Q1,3,38,7,11,12,1,1,1,74,17.6,51.4,31.1
2022 Q2,2,29,5,12,17,0,0,2,67,20.9,43.3,35.8
2022 Q3,3,40,10,15,15,3,0,2,88,22.7,45.5,31.8
2022 Q4,5,30,5,15,6,1,2,0,64,25.0,46.9,28.1
2023 Q1,4,27,8,21,13,1,0,0,74,29.7,36.5,33.8
2023 Q2,2,24,6,14,21,2,1,1,71,23.9,33.8,42.3
2023 Q3,5,45,1,17,7,0,2,1,78,23.1,57.7,19.2
2023 Q4,5,34,1,12,8,1,0,2,63,23.8,54.0,22.2
2024 Q1,6,39,4,19,3,2,0,0,73,28.8,53.4,17.8
2024 Q2,1,40,2,18,9,1,0,0,71,26.8,56.3,16.9
2024 Q3,6,42,2,17,5,0,1,0,73,23.3,57.5,19.2
2024 Q4,9,30,2,19,15,1,0,0,76,26.3,39.5,34.2
2025 Q1,5,26,9,17,7,0,2,1,67,26.9,38.8,34.3
2025 Q2,5,22,5,23,5,1,1,1,63,39.7,34.9,25.4
2025 Q3,7,33,1,20,7,0,1,0,69,29.0,47.8,23.2
2025 Q4,4,26,5,19,13,0,0,1,68,29.4,38.2,32.4
