Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,16,5,21,52,33,85,76.2,61.2
2020,8,4,12,28,27,55,66.7,50.9
2021,6,9,15,34,20,54,40.0,63.0
2022,9,0,9,37,15,52,100.0,71.2
2023,8,6,14,38,18,56,57.1,67.9
2024,3,3,6,30,10,40,50.0,75.0
