DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,3,10,13,23.1,16,82,98,16.3
2019 Q2,10,15,25,40.0,22,89,111,19.8
2020 Q4,2,3,5,40.0,14,74,88,15.9
2025 Q3,3,5,8,37.5,16,73,89,18.0
2021 Q3,2,15,17,11.8,15,72,87,17.2
2023 Q1,5,12,17,29.4,24,66,90,26.7
2017 Q3,4,20,24,16.7,19,95,114,16.7
2025 Q4,0,7,7,0.0,24,63,87,27.6
2021 Q2,2,11,13,15.4,15,85,100,15.0
2019 Q1,5,14,19,26.3,19,94,113,16.8
2022 Q2,2,7,9,22.2,11,105,116,9.5
2018 Q1,5,22,27,18.5,17,115,132,12.9
2019 Q4,3,23,26,11.5,20,82,102,19.6
2021 Q1,2,7,9,22.2,11,70,81,13.6
2019 Q3,4,14,18,22.2,17,96,113,15.0
2024 Q1,0,11,11,0.0,27,80,107,25.2
2018 Q2,10,15,25,40.0,22,108,130,16.9
2020 Q1,0,20,20,0.0,8,73,81,9.9
2023 Q4,0,9,9,0.0,22,89,111,19.8
2018 Q4,8,27,35,22.9,18,89,107,16.8
2020 Q3,3,14,17,17.6,19,72,91,20.9
2017 Q4,6,28,34,17.6,24,90,114,21.1
2024 Q3,0,3,3,0.0,27,93,120,22.5
2024 Q2,2,10,12,16.7,19,71,90,21.1
2017 Q1,4,20,24,16.7,15,94,109,13.8
2022 Q3,3,7,10,30.0,17,73,90,18.9
2025 Q1,1,6,7,14.3,28,70,98,28.6
2023 Q2,3,9,12,25.0,24,87,111,21.6
2017 Q2,6,11,17,35.3,17,101,118,14.4
2020 Q2,3,17,20,15.0,8,59,67,11.9
2023 Q3,1,11,12,8.3,17,81,98,17.3
2022 Q1,3,9,12,25.0,14,76,90,15.6
2024 Q4,1,5,6,16.7,31,84,115,27.0
2021 Q4,1,14,15,6.7,25,105,130,19.2
2025 Q2,1,3,4,25.0,31,99,130,23.8
2022 Q4,2,2,4,50.0,13,58,71,18.3
