Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,16,5,21,54,32,86,76.19047619,62.79069767
2020,6,5,11,28,27,55,54.54545455,50.90909091
2021,6,10,16,34,20,54,37.5,62.96296296
2022,8,0,8,36,15,51,100.0,70.58823529
2023,8,7,15,37,18,55,53.33333333,67.27272727
2024,3,3,6,30,10,40,50.0,75.0
