Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,105,26,288,140,46,1
2021,176,28,347,123,42,1
2022,151,46,307,142,41,1
2023,87,60,346,122,56,0
2024,73,102,342,148,58,1
2025,86,106,298,97,71,2
