Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,6,3,9,14,10,24,21,15,36,66,72,138,66.7,58.3,58.3,47.8
2018,4,6,10,12,15,27,33,16,49,90,70,160,40.0,44.4,67.3,56.2
2019,5,0,5,25,8,33,28,9,37,101,69,170,100.0,75.8,75.7,59.4
2020,2,1,3,12,7,19,19,11,30,62,42,104,66.7,63.2,63.3,59.6
2021,0,1,1,12,6,18,28,9,37,71,37,108,0.0,66.7,75.7,65.7
2022,3,4,7,12,5,17,14,4,18,79,20,99,42.9,70.6,77.8,79.8
2023,2,1,3,18,12,30,17,5,22,68,32,100,66.7,60.0,77.3,68.0
2024,2,3,5,16,6,22,13,5,18,54,18,72,40.0,72.7,72.2,75.0
2025,4,1,5,19,2,21,13,6,19,58,19,77,80.0,90.5,68.4,75.3
