Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2020,12,7,19,19,11,30,62,42,104,63.15789474,63.33333333,59.61538462
2021,12,6,18,28,9,37,71,37,108,66.66666667,75.67567568,65.74074074
2022,12,5,17,14,4,18,79,20,99,70.58823529,77.77777778,79.7979798
2023,18,12,30,17,5,22,68,32,100,60.0,77.27272727,68.0
2024,16,6,22,13,5,18,54,18,72,72.72727273,72.22222222,75.0
2025,19,2,21,13,6,19,58,19,77,90.47619048,68.42105263,75.32467532
