Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,282.0,134.0,335.0,109.0,76.0,14.0,4.0,69.0
Change since 2024,11.46245059,3.87596899,-12.30366492,-32.29813665,31.03448276,-33.33333333,300.0,30.18867925
