Filing Quarter,Felony,Misdemeanor,Petty/Offense,Total,Percent of filed cases with a felony top charge
2017 Q1,1217,2836,86,4139,29.4
2017 Q2,1154,2990,80,4224,27.3
2017 Q3,1258,2947,81,4286,29.4
2017 Q4,1086,4678,231,5995,18.1
2018 Q1,1342,5498,172,7012,19.1
2018 Q2,1377,4193,120,5690,24.2
2018 Q3,1457,4090,146,5693,25.6
2018 Q4,1227,4235,148,5610,21.9
2019 Q1,1311,3976,130,5417,24.2
2019 Q2,1214,4616,154,5984,20.3
2019 Q3,1195,4222,167,5584,21.4
2019 Q4,1192,3698,129,5019,23.7
2020 Q1,1275,4279,152,5706,22.3
2020 Q2,1132,2892,117,4141,27.3
2020 Q3,899,3151,111,4161,21.6
2020 Q4,888,3363,106,4357,20.4
2021 Q1,830,3444,237,4511,18.4
2021 Q2,885,4679,253,5817,15.2
2021 Q3,882,4390,213,5485,16.1
2021 Q4,867,3685,275,4827,18.0
2022 Q1,1061,3701,258,5020,21.1
2022 Q2,824,3149,261,4234,19.5
2022 Q3,842,3391,392,4625,18.2
2022 Q4,838,3517,330,4685,17.9
2023 Q1,815,3390,311,4516,18.0
2023 Q2,792,3394,300,4486,17.7
2023 Q3,825,3567,309,4701,17.5
2023 Q4,855,3479,330,4664,18.3
2024 Q1,861,4123,344,5328,16.2
2024 Q2,751,3897,358,5006,15.0
2024 Q3,826,4403,372,5601,14.7
2024 Q4,690,3771,380,4841,14.3
2025 Q1,687,3675,331,4693,14.6
2025 Q2,899,3664,293,4856,18.5
2025 Q3,798,3946,432,5176,15.4
2025 Q4,690,3362,372,4424,15.6
2026 Q1,700,3325,370,4395,15.9
2026 Q2,700,3572,339,4611,15.2
