District,Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
01,2017 Q1,1217,2836,86
01,2017 Q2,1154,2990,80
01,2017 Q3,1258,2947,81
01,2017 Q4,1086,4678,231
01,2018 Q1,1342,5498,172
01,2018 Q2,1377,4193,120
01,2018 Q3,1457,4090,146
01,2018 Q4,1227,4235,148
01,2019 Q1,1311,3976,130
01,2019 Q2,1214,4616,154
01,2019 Q3,1195,4222,167
01,2019 Q4,1192,3698,129
01,2020 Q1,1275,4279,152
01,2020 Q2,1132,2892,117
01,2020 Q3,899,3151,111
01,2020 Q4,888,3363,106
01,2021 Q1,830,3444,237
01,2021 Q2,885,4679,253
01,2021 Q3,882,4390,213
01,2021 Q4,867,3685,275
01,2022 Q1,1061,3701,258
01,2022 Q2,824,3149,261
01,2022 Q3,842,3391,392
01,2022 Q4,838,3517,330
01,2023 Q1,815,3390,311
01,2023 Q2,792,3394,300
01,2023 Q3,825,3567,309
01,2023 Q4,855,3479,330
01,2024 Q1,861,4123,344
01,2024 Q2,751,3897,358
01,2024 Q3,826,4403,372
01,2024 Q4,690,3771,380
01,2025 Q1,687,3675,331
01,2025 Q2,899,3664,293
01,2025 Q3,799,3946,432
01,2025 Q4,690,3362,372
01,2026 Q1,700,3325,370
01,2026 Q2,700,3566,340
