District,Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
01,2020,4105,236,181,3240,998,1588,1380,6637
01,2021,3781,204,225,3123,1200,1700,1528,8879
01,2022,3687,200,247,3088,1707,1467,1572,6596
01,2023,3601,173,227,2658,2248,1401,1494,6565
01,2024,3822,183,205,2958,2063,1465,1414,8666
01,2025,3937,157,212,3065,1761,1461,1385,7172
