District,Filing Quarter,Number of violent cases filed per quarter
01,2017 Q1,181
01,2017 Q2,160
01,2017 Q3,188
01,2017 Q4,160
01,2018 Q1,201
01,2018 Q2,194
01,2018 Q3,217
01,2018 Q4,197
01,2019 Q1,193
01,2019 Q2,195
01,2019 Q3,202
01,2019 Q4,155
01,2020 Q1,202
01,2020 Q2,224
01,2020 Q3,206
01,2020 Q4,159
01,2021 Q1,176
01,2021 Q2,184
01,2021 Q3,164
01,2021 Q4,188
01,2022 Q1,201
01,2022 Q2,177
01,2022 Q3,182
01,2022 Q4,194
01,2023 Q1,153
01,2023 Q2,144
01,2023 Q3,172
01,2023 Q4,178
01,2024 Q1,170
01,2024 Q2,162
01,2024 Q3,205
01,2024 Q4,179
01,2025 Q1,158
01,2025 Q2,183
01,2025 Q3,185
01,2025 Q4,200
01,2026 Q1,176
01,2026 Q2,166
