Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,4715,13451,478
2018,5403,18016,586
2019,4912,16512,580
2020,4194,13685,486
2021,3464,16198,978
2022,3565,13758,1241
2023,3287,13830,1250
2024,3128,16194,1454
2025,3075,14647,1428
