Referral Year,Felony Referrals Filed,Felony Referrals Not Filed,Total Felony Referrals,Felony Cases Acquitted,Felony Cases Deferred,Felony Cases Dismissed,Felony Cases Found Guilty,Felony Cases Plea Dismissal,Felony Cases Plead Guilty,Total Felony Cases Disposed,Percent of felony referrals declined,Percent of felony cases dismissed after filing
2017,3086,0,3086,8,395,166,21,138,2103,2831,0.0,5.9
2018,3150,1,3151,7,394,176,24,146,2206,2953,0.0,6.0
2019,3058,2,3060,11,400,201,27,208,2227,3074,0.1,6.5
2020,2557,0,2557,4,327,184,12,172,1778,2477,0.0,7.4
2021,2168,1,2169,7,326,167,18,133,1708,2359,0.0,7.1
2022,2115,28,2143,4,320,198,17,164,1504,2207,1.3,9.0
2023,2142,11,2153,12,325,179,13,128,1472,2129,0.5,8.4
2024,2214,1,2215,9,358,179,23,126,1360,2055,0.0,8.7
2025,2135,0,2135,11,333,193,30,162,1402,2131,0.0,9.1
